PID,ProductType,ProductName,Manufacturer,Part #,Color
12348,Memory,ADATA Premier Series 16 GB (2 x 8 GB) DDR3-1600 CL11 Memory (AD3U1600W8G11-DRH),47,AD3U1600W8G11-DRH,35
12349,Memory,Corsair Vengeance 8 GB (2 x 4 GB) DDR3-2133 CL9 Memory (CMZ8GX3M2A2133C11B),29,CMZ8GX3M2A2133C11B,17
12350,Memory,Corsair Vengeance 16 GB (4 x 4 GB) DDR3-2133 CL9 Memory (CMZ16GX3M4A2133C9R),29,CMZ16GX3M4A2133C9R,8
12351,Memory,Corsair Vengeance 32 GB (4 x 8 GB) DDR3-1600 CL9 Memory (CMZ32GX3M4A1600C9),29,CMZ32GX3M4A1600C9,2
12352,Memory,ADATA Premier Series 16 GB (2 x 8 GB) DDR3-1333 CL9 Memory (AD3S1333W8G9-2),47,AD3S1333W8G9-2,21
12353,Memory,"Patriot Viper Xtreme Series, Division 4 16 GB (4 x 4 GB) DDR3-2133 CL11 Memory (PXQ316G2133ELQK)",48,PXQ316G2133ELQK,2
12354,Memory,G.Skill Trident X 16 GB (2 x 8 GB) DDR3-2600 CL11 Memory (F3-2600C11D-16GTXD),43,F3-2600C11D-16GTXD,
12355,Memory,GeIL EVO Leggara Series 16 GB (4 x 4 GB) DDR3-1600 CL9 Memory (GEL316GB1600C9QC),55,GEL316GB1600C9QC,
12356,Memory,Corsair Vengeance LP 16 GB (4 x 4 GB) DDR3-2133 CL9 Memory (CML16GX3M4A2133C11B),29,CML16GX3M4A2133C11B,17
12357,Memory,Corsair Vengeance LP 16 GB (4 x 4 GB) DDR3-1866 CL9 Memory (CML16GX3M4A1866C9),29,CML16GX3M4A1866C9,18
12358,Memory,GeIL EVO Leggara Series 8 GB (2 x 4 GB) DDR3-2400 CL11 Memory (GEL38GB2400C11ADC),55,GEL38GB2400C11ADC,
12359,Memory,GeIL EVO Leggara Series 32 GB (4 x 8 GB) DDR3-2400 CL10 Memory (GEL332GB2400C10AQC),55,GEL332GB2400C10AQC,
12360,Memory,Patriot Viper 3 32 GB (4 x 8 GB) DDR3-1600 CL10 Memory (PV332G160C0QK),48,PV332G160C0QK,2
12361,Memory,Patriot Viper 3 8 GB (2 x 4 GB) DDR3-1866 CL9 Memory (PV38G186C9K),48,PV38G186C9K,2
12362,Memory,Patriot Viper 3 32 GB (4 x 8 GB) DDR3-2133 CL11 Memory (PV332G213C1QK),48,PV332G213C1QK,2
12363,Memory,Kingston 4 GB (2 x 2 GB) DDR3-1333 CL9 Memory (KVR1333D3S8N9HK2/4G),46,KVR1333D3S8N9HK2/4G,21
12364,Memory,"Patriot Intel Extreme Master, Limited Ed 16 GB (2 x 8 GB) DDR3-1866 CL10 Memory (PVI316G186C0K)",48,PVI316G186C0K,17
12365,Memory,"Patriot Intel Extreme Master, Limited Ed 8 GB (2 x 4 GB) DDR3-1866 CL9 Memory (PVI38G186C9K)",48,PVI38G186C9K,17
12366,Memory,"Patriot Intel Extreme Master, Limited Ed 8 GB (2 x 4 GB) DDR3-2133 CL11 Memory (PVI38G213C1K)",48,PVI38G213C1K,17
12367,Memory,"Patriot Intel Extreme Master, Limited Ed 32 GB (4 x 8 GB) DDR3-1866 CL10 Memory (PVI332G186C0QK)",48,PVI332G186C0QK,17
12368,Memory,Crucial 8 GB (2 x 4 GB) DDR3-1600 CL11 Memory (CT2KIT51264BA160B),42,CT2KIT51264BA160B,21
12369,Memory,Corsair Dominator Platinum 16 GB (2 x 8 GB) DDR3-1866 CL9 Memory (CMD16GX3M2A1866C10),29,CMD16GX3M2A1866C10,2
