PID,Height,Fanless,Fan RPM Min,Fan RPM Max,Noise Level Min,Noise Level Max,Bearing,Water Cooler Radiator
28915,47,N,1200,3000,19.3,44.5,,
28916,,N,500,1400,19.8,26.2,,280
28917,,N,800,2300,,,,120
28918,,N,500,2200,36.8,,,360
28919,,N,600,2200,17.6,39.29,2,360
28920,45,N,550,2500,18.5,32,,
28921,169,N,700,1300,20,25,,
28922,,N,500,2000,14,28,,360
28923,,N,600,2200,7.3,36.6,,240
28924,,N,800,1500,26.4,,,360
28925,158,N,900,1300,12.6,19.8,,
28926,141,N,800,2500,29.6,,,
28927,154.5,N,600,1750,16.1,27.7,,
28928,36,N,1200,2400,20,26.9,,
28929,113,N,2200,,8,24,2,
28930,163,N,600,2500,21,45,,
28931,130,N,600,1500,19,23,,
28932,136,N,1000,2200,28.87,,0,
28933,70,Y,,,0,,,
28934,166,N,200,1800,,,,
28935,63,N,600,3000,17.2,30.54,,
28936,28,N,1200,2600,15,27.8,3,
28937,143,N,900,1600,17.8,26.1,,
28938,,N,500,2200,36.8,,,240
28939,,N,500,1800,19.8,35.4,,280
28940,160,N,900,1300,12.6,19.8,,
28941,130,N,600,2000,24.4,,3,
28942,148,Y,,,0,,,
28943,,N,800,1500,26.4,,,240
28944,155,N,500,1600,,,,
28945,59,N,500,1800,32.5,,,
28946,157,N,600,1800,21.9,27.6,,
28947,165,N,800,2200,15,38,,
28948,,N,400,1800,28,,,140
28949,159.5,N,1600,2000,26,31.5,,
28950,,N,800,2200,21,35,,120
28951,,N,500,1350,,,,240
28952,150,N,200,1800,24.4,,,
28953,165,N,800,1500,29,,,
28954,153,N,1000,1800,26.3,,,
28955,162,N,300,1300,15,21,,
28956,134,N,1500,2800,14.1,27.7,,
28957,158,N,600,1500,19,23,,
28958,36,N,800,3000,14,33,,
28959,,N,800,1900,28.8,,,240
28960,,N,800,2000,21,37,,140
28961,,N,600,2400,19,40,,120
28962,161,N,300,1300,15,21,,
28963,160,N,700,1300,20,24,,
28964,137,N,800,2200,16,23,,
28965,158,N,500,1500,27,,,
28966,,N,500,2500,23,,,240
28967,154,N,1000,1950,17,33,,
